Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,DOB Year,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Brent Gilchrist,L,1967-04-03,4,792,135,170,305,400,0:30,--,--,--,185,--,--,--,--,179,4,0,1,1,L,L,1967-04-03,1967,Moose Jaw,SK,CAN,CAN,71,180,1985,4,79,19881989,1988,N,792,135,170,305
Alain Cote,L,1967-04-14,4,696,103,190,293,383,0:33,--,--,--,135,--,--,--,--,109,19,0,5,2,R,D,1967-04-14,1967,Montmagny,QC,CAN,CAN,72,200,1985,2,31,19851986,1985,N,119,2,18,20
Alain Cote,D,1967-04-14,4,119,2,18,20,124,1:02,--,--,--,47,--,--,--,--,41,4,0,2,0,R,D,1967-04-14,1967,Montmagny,QC,CAN,CAN,72,200,1985,2,31,19851986,1985,N,119,2,18,20
Vincent Damphousse,C,1967-12-17,4,"1,378",432,773,"1,205","1,188",0:51,--,--,--,542,--,--,--,--,523,10,0,3,6,L,C,1967-12-17,1967,Montreal,QC,CAN,CAN,73,205,1986,1,6,19861987,1986,N,"1,378",432,773,"1,205"
Marc Laforge,D,1968-01-03,4,14,0,0,0,64,4:34,--,--,--,18,--,--,--,--,12,4,0,2,0,L,D,1968-01-03,1968,Sudbury,ON,CAN,CAN,74,210,1986,2,32,19891990,1989,N,14,0,0,0
Joseph Day,L,1968-05-11,4,72,1,10,11,87,1:12,--,--,--,35,--,--,--,--,30,5,0,0,0,L,L,1968-05-11,1968,Chicago,IL,USA,USA,71,180,1987,9,186,19911992,1991,N,72,1,10,11
Todd Harkins,R,1968-10-08,4,48,3,3,6,78,1:37,--,--,--,25,--,--,--,--,19,4,0,1,1,R,R,1968-10-08,1968,Cleveland,OH,USA,USA,75,210,1988,2,42,19911992,1991,N,48,3,3,6
Darren Rumble,D,1969-01-23,4,193,10,26,36,216,1:07,--,--,--,76,--,--,--,--,63,8,0,0,5,L,D,1969-01-23,1969,Barrie,ON,CAN,CAN,73,207,1987,1,20,19901991,1990,N,193,10,26,36
Yves Racine,D,1969-02-07,4,508,37,194,231,439,0:51,--,--,--,185,--,--,--,--,172,7,0,2,4,L,D,1969-02-07,1969,Matane,QC,CAN,CAN,72,205,1987,1,11,19891990,1989,N,508,37,194,231
Sergei Fedorov,C,1969-12-13,4,"1,248",483,696,"1,179",839,0:40,--,--,--,389,--,--,--,--,376,9,1,0,3,L,C,1969-12-13,1969,Pskov,--,RUS,RUS,74,207,1989,4,74,19901991,1990,Y,"1,248",483,696,"1,179"
Richard Smehlik,D,1970-01-23,4,644,49,146,195,415,0:38,--,--,--,188,--,--,--,--,180,5,0,2,1,L,D,1970-01-23,1970,Ostrava,--,CZE,CZE,75,230,1990,5,97,19921993,1992,N,644,49,146,195
Daniel Dore,R,1970-04-09,4,17,2,3,5,59,3:28,--,--,--,14,--,--,--,--,7,5,0,0,2,R,R,1970-04-09,1970,Saint-Jerome,QC,CAN,CAN,75,202,1988,1,5,19891990,1989,N,17,2,3,5
Dane Jackson,R,1970-05-17,4,45,12,6,18,58,1:17,--,--,--,18,--,--,--,--,13,4,0,1,0,R,R,1970-05-17,1970,Winnipeg,MB,CAN,CAN,73,200,1988,3,44,19931994,1993,N,45,12,6,18
Patrice Tardif,C,1970-10-30,4,65,7,11,18,78,1:12,--,--,--,29,--,--,--,--,24,4,0,0,1,L,C,1970-10-30,1970,Thetford Mines,QC,CAN,CAN,74,200,1990,3,54,19941995,1994,N,65,7,11,18
Craig Martin,R,1971-01-21,4,21,0,1,1,24,1:08,--,--,--,6,--,--,--,--,2,4,0,0,0,R,R,1971-01-21,1971,Amherst,NS,CAN,CAN,74,219,1990,5,98,19941995,1994,N,21,0,1,1
Trevor Halverson,R,1971-04-06,4,17,0,4,4,28,1:38,11:56,13.8,--,8,--,--,--,--,4,4,0,0,0,L,R,1971-04-06,1971,White River,ON,CAN,CAN,73,200,1991,1,21,19981999,1998,N,17,0,4,4
Kris Draper,C,1971-05-24,4,"1,157",161,203,364,790,0:40,--,--,--,354,--,--,--,--,339,8,0,3,4,L,C,1971-05-24,1971,Toronto,ON,CAN,CAN,70,188,1989,3,62,19901991,1990,N,"1,157",161,203,364
Todd Reirden,D,1971-06-25,4,183,11,35,46,181,0:59,17:41,5.6,--,79,--,--,--,--,73,5,0,0,1,L,D,1971-06-25,1971,Deerfield,IL,USA,USA,77,220,1990,12,242,19981999,1998,N,183,11,35,46
Aaron Miller,D,1971-08-11,4,677,25,94,119,422,0:37,--,--,--,189,--,--,--,--,181,4,0,4,0,R,D,1971-08-11,1971,Buffalo,NY,USA,USA,75,210,1989,5,88,19931994,1993,N,677,25,94,119
Doug Friedman,L,1971-09-01,4,18,0,1,1,34,1:53,6:15,30.2,--,11,--,--,--,--,7,4,0,0,0,L,L,1971-09-01,1971,Cape Elizabeth,ME,USA,USA,73,189,1991,11,222,19971998,1997,N,18,0,1,1
Jim Campbell,R,1973-02-03,4,285,61,75,136,268,0:56,--,--,--,101,--,--,--,--,88,8,0,1,4,R,R,1973-02-03,1973,Worcester,MA,USA,USA,74,205,1991,2,28,19951996,1995,N,285,61,75,136
Alex Kovalev,R,1973-02-24,4,"1,316",430,599,"1,029","1,304",0:59,--,--,--,579,--,--,--,--,554,12,0,4,9,L,R,1973-02-24,1973,Togliatti,--,RUS,RUS,74,222,1991,1,15,19921993,1992,N,"1,316",430,599,"1,029"
Adrian Aucoin,D,1973-07-03,4,"1,108",121,278,399,793,0:42,--,--,--,388,--,--,--,--,383,5,0,0,0,R,D,1973-07-03,1973,Ottawa,ON,CAN,CAN,74,215,1992,5,117,19941995,1994,N,"1,108",121,278,399
Scott Niedermayer,D,1973-08-31,4,"1,263",172,568,740,784,0:37,--,--,--,354,--,--,--,--,342,4,1,5,2,L,D,1973-08-31,1973,Edmonton,AB,CAN,CAN,73,194,1991,1,3,19911992,1991,Y,"1,263",172,568,740
Sean Gagnon,D,1973-09-11,4,12,0,1,1,34,2:50,10:11,27.8,--,11,--,--,--,--,7,4,0,0,0,L,D,1973-09-11,1973,Sault Ste. Marie,ON,CAN,CAN,74,215,--,--,--,19971998,1997,N,12,0,1,1
Cory Stillman,L,1973-12-20,4,"1,025",278,449,727,489,0:28,--,--,--,232,--,--,--,--,226,5,0,0,1,L,L,1973-12-20,1973,Peterborough,ON,CAN,CAN,72,193,1992,1,6,19941995,1994,N,"1,025",278,449,727
Serge Aubin,C,1975-02-15,4,374,44,64,108,361,0:57,13:53,7,--,157,--,--,--,--,148,5,0,2,2,L,C,1975-02-15,1975,Val-d'Or,QC,CAN,CAN,73,200,1994,7,161,19981999,1998,N,374,44,64,108
Ron Talakoski,R,1962-06-01,4,9,0,1,1,33,3:40,--,--,--,9,--,--,--,--,4,5,0,0,0,R,R,1962-06-01,1962,Thunder Bay,ON,CAN,CAN,75,220,--,--,--,19861987,1986,N,9,0,1,1
Stan Neckar,D,1975-12-22,4,510,12,41,53,316,0:37,--,--,--,144,--,--,--,--,138,4,0,0,2,L,D,1975-12-22,1975,Ceské Budejovice,--,CZE,CZE,73,214,1994,2,29,19941995,1994,N,510,12,41,53
Ryan Smyth,L,1976-02-21,4,"1,270",386,456,842,976,0:46,--,--,--,443,--,--,--,--,428,6,0,6,3,L,L,1976-02-21,1976,Banff,AB,CAN,CAN,74,191,1994,1,6,19941995,1994,N,"1,270",386,456,842
Patrik Elias,C,1976-04-13,4,"1,240",408,617,"1,025",549,0:26,--,--,--,247,--,--,--,--,239,3,0,4,1,L,C,1976-04-13,1976,Trebic,--,CZE,CZE,73,190,1994,2,51,19951996,1995,N,"1,240",408,617,"1,025"
Vaclav Varada,R,1976-04-26,4,493,58,125,183,410,0:49,--,--,--,173,--,--,--,--,160,8,0,1,4,L,R,1976-04-26,1976,Vsetin,--,CZE,CZE,72,209,1994,4,89,19951996,1995,N,493,58,125,183
Rob Skrlac,L,1976-06-10,4,8,1,0,1,22,2:45,2:15,122.1,--,5,--,--,--,--,1,4,0,0,0,L,L,1976-06-10,1976,Campbell River,BC,CAN,CAN,77,245,1995,9,224,20032004,2003,N,8,1,0,1
Aki Berg,D,1977-07-28,4,606,15,70,85,374,0:37,--,--,--,170,--,--,--,--,162,6,0,0,2,L,D,1977-07-28,1977,Turku,--,FIN,FIN,75,213,1995,1,3,19951996,1995,N,606,15,70,85
Richard Scott,R,1978-08-01,4,10,0,0,0,28,2:48,4:13,66.3,--,8,--,--,--,--,4,4,0,0,0,L,R,1978-08-01,1978,Orillia,ON,CAN,CAN,74,210,--,--,--,20012002,2001,N,10,0,0,0
Marian Hossa,R,1979-01-12,4,"1,309",525,609,"1,134",628,0:28,18:40,2.6,--,300,--,--,--,--,294,4,0,0,2,L,R,1979-01-12,1979,Stará Lubovna,--,SVK,SVK,73,207,1997,1,12,19971998,1997,Y,"1,309",525,609,"1,134"
Dunc McCallum,D,1940-03-29,4,187,14,35,49,230,1:13,--,--,--,109,--,--,--,--,105,4,0,0,0,R,D,1940-03-29,1940,Flin Flon,MB,CAN,CAN,73,193,--,--,--,19651966,1965,N,187,14,35,49
Kent Huskins,D,1979-05-04,4,318,13,55,68,173,0:32,16:31,3.3,--,78,--,--,--,--,74,3,0,0,1,L,D,1979-05-04,1979,Almonte,ON,CAN,CAN,76,210,1998,6,156,20062007,2006,N,318,13,55,68
Maxim Afinogenov,R,1979-09-04,4,651,158,237,395,486,0:44,15:07,4.9,--,222,--,--,--,--,213,6,0,2,1,L,R,1979-09-04,1979,Moscow,--,RUS,RUS,72,190,1997,3,69,19992000,1999,N,651,158,237,395
Ramzi Abid,L,1980-03-24,4,68,14,16,30,78,1:08,12:07,9.5,--,33,--,--,--,--,29,4,0,0,0,L,L,1980-03-24,1980,Montreal,QC,CAN,CAN,74,210,2000,3,85,20022003,2002,N,68,14,16,30
Mike Glumac,C,1980-04-05,4,40,7,6,13,38,0:57,11:53,8,--,13,--,--,--,--,9,4,0,0,0,R,C,1980-04-05,1980,Niagara Falls,ON,CAN,CAN,74,209,--,--,--,20052006,2005,N,40,7,6,13
Brad Richards,C,1980-05-02,4,"1,126",298,634,932,251,0:13,19:51,1.1,--,108,--,--,--,--,102,3,0,3,0,L,C,1980-05-02,1980,Murray Harbour,PE,CAN,CAN,72,199,1998,3,64,20002001,2000,N,"1,126",298,634,932
Dean Arsene,D,1980-07-20,4,13,0,0,0,41,3:09,12:56,24.4,6,12,-6,2.14,4.28,-2.14,8,3,0,1,0,L,D,1980-07-20,1980,Murrayville,BC,CAN,CAN,74,205,--,--,--,20092010,2009,N,13,0,0,0
Jeff Jillson,D,1980-07-24,4,140,9,32,41,96,0:41,15:59,4.3,--,34,--,--,--,--,28,4,0,1,1,R,D,1980-07-24,1980,North Smithfield,RI,USA,USA,75,215,1999,1,14,20012002,2001,N,140,9,32,41
Dominic Moore,C,1980-08-03,4,897,106,176,282,487,0:32,13:41,4,--,238,--,--,--,--,235,3,0,0,0,L,C,1980-08-03,1980,Thornhill,ON,CAN,CAN,72,192,2000,3,95,20032004,2003,N,897,106,176,282
Branislav Mezei,D,1980-10-08,4,240,5,19,24,311,1:17,15:18,8.5,--,129,--,--,--,--,118,7,0,0,4,L,D,1980-10-08,1980,Nitra,--,SVK,SVK,76,235,1999,1,10,20002001,2000,N,240,5,19,24
Kyle Wanvig,R,1981-01-29,4,75,6,9,15,94,1:15,10:26,12,--,33,--,--,--,--,27,4,0,2,0,R,R,1981-01-29,1981,Calgary,AB,CAN,CAN,74,210,2001,2,36,20022003,2002,N,75,6,9,15
Steve McCarthy,D,1981-02-03,4,302,17,38,55,168,0:33,15:30,3.6,--,70,--,--,--,--,64,4,0,1,1,L,D,1981-02-03,1981,Trail,BC,CAN,CAN,73,210,1999,1,23,19992000,1999,N,302,17,38,55
Ab Demarco Jr.,D,1949-02-27,4,344,44,80,124,75,0:13,--,--,--,33,--,--,--,--,30,3,0,0,0,R,D,1949-02-27,1949,Cleveland,OH,USA,USA,72,170,--,--,--,19691970,1969,N,344,44,80,124
Chad LaRose,R,1982-03-27,4,508,85,95,180,286,0:33,14:03,4,--,127,--,--,--,--,121,4,0,2,0,R,R,1982-03-27,1982,Fraser,MI,USA,USA,70,181,--,--,--,20052006,2005,N,508,85,95,180
Warren Peters,C,1982-07-10,4,96,4,4,8,72,0:45,9:23,8,--,23,--,--,--,--,16,6,0,0,1,L,C,1982-07-10,1982,Saskatoon,SK,CAN,CAN,72,195,--,--,--,20082009,2008,N,96,4,4,8
Yan Stastny,C,1982-09-30,4,91,6,10,16,58,0:38,10:29,6.1,--,23,--,--,--,--,19,4,0,0,0,L,C,1982-09-30,1982,Quebec City,QC,CAN,CAN,70,191,2002,8,259,20052006,2005,N,91,6,10,16
Lee Stempniak,R,1983-02-04,4,911,203,266,469,327,0:21,15:55,2.3,--,152,--,--,--,--,147,5,0,0,0,R,R,1983-02-04,1983,West Seneca,NY,USA,USA,71,195,2003,5,148,20052006,2005,N,911,203,266,469
Matthew Spiller,D,1983-02-07,4,68,0,2,2,74,1:05,11:52,9.2,--,31,--,--,--,--,27,4,0,0,0,L,D,1983-02-07,1983,Daysland,AB,CAN,CAN,77,233,2001,2,31,20032004,2003,N,68,0,2,2
Nathan Paetsch,D,1983-03-30,4,167,7,35,42,114,0:40,13:38,5,--,42,--,--,--,--,36,4,0,2,0,L,D,1983-03-30,1983,Leroy,SK,CAN,CAN,73,198,2003,7,202,20052006,2005,N,167,7,35,42
Fedor Tyutin,D,1983-07-19,4,872,55,209,264,548,0:37,21:23,2.9,--,260,--,--,--,--,255,4,0,1,0,L,D,1983-07-19,1983,Izhevsk,--,RUS,RUS,74,221,2001,2,40,20032004,2003,N,872,55,209,264
Drew Bagnall,D,1983-10-26,4,2,0,0,0,4,2:00,13:00,15.4,1,2,-1,2.31,4.61,-2.31,2,0,0,0,0,L,D,1983-10-26,1983,Oakbank,MB,CAN,CAN,75,220,2003,6,195,20102011,2010,N,2,0,0,0
Triston Grant,L,1984-02-02,4,11,0,1,1,19,1:43,5:16,32.8,--,5,--,--,--,--,2,3,0,0,0,L,L,1984-02-02,1984,Neepawa,MB,CAN,CAN,73,211,2004,9,286,20062007,2006,N,11,0,1,1
Drew Miller,L,1984-02-17,4,571,62,60,122,136,0:14,12:43,1.9,--,59,--,--,--,--,55,4,0,0,0,L,L,1984-02-17,1984,Dover,NJ,USA,USA,74,183,2003,6,186,20072008,2007,N,571,62,60,122
Gord Hannigan,C,1929-01-19,4,161,29,31,60,115,0:42,--,--,--,47,--,--,--,--,40,7,0,0,0,L,C,1929-01-19,1929,Schumacher,ON,CAN,CAN,68,155,--,--,--,19521953,1952,N,161,29,31,60
Ian White,D,1984-06-04,4,503,45,134,179,254,0:30,20:51,2.4,--,115,--,--,--,--,110,4,0,1,0,R,D,1984-06-04,1984,Steinbach,MB,CAN,CAN,70,191,2002,6,191,20052006,2005,N,503,45,134,179
Chris Campoli,D,1984-07-09,4,440,35,111,146,200,0:27,18:12,2.5,--,90,--,--,--,--,85,4,0,1,0,L,D,1984-07-09,1984,Mississauga,ON,CAN,CAN,72,200,2004,7,227,20052006,2005,N,440,35,111,146
Bruno Gervais,D,1984-10-03,4,418,16,71,87,182,0:26,18:00,2.4,--,80,--,--,--,--,75,4,0,1,0,R,D,1984-10-03,1984,Longueuil,QC,CAN,CAN,73,200,2003,6,182,20052006,2005,N,418,16,71,87
David Booth,L,1984-11-24,4,530,124,112,236,216,0:24,14:42,2.8,--,101,--,--,--,--,97,4,0,0,0,L,L,1984-11-24,1984,Detroit,MI,USA,USA,72,212,2004,2,53,20062007,2006,N,530,124,112,236
Francis Wathier,L,1984-12-07,4,10,0,0,0,5,0:30,4:56,10.1,2,1,1,2.43,1.22,1.22,0,1,0,0,0,L,L,1984-12-07,1984,St. Isidore,ON,CAN,CAN,76,210,2003,6,185,20092010,2009,N,10,0,0,0
Marc Methot,D,1985-06-21,4,624,22,101,123,380,0:36,19:55,3.1,--,173,--,--,--,--,165,6,0,2,0,L,D,1985-06-21,1985,Ottawa,ON,CAN,CAN,76,230,2003,6,168,20062007,2006,N,624,22,101,123
Viktor Stalberg,L,1986-01-17,4,488,82,86,168,245,0:30,12:41,4,123,117,6,1.19,1.13,0.06,114,3,0,0,0,L,L,1986-01-17,1986,Gothenburg,--,SWE,SWE,75,209,2006,6,161,20092010,2009,N,488,82,86,168
Blake Comeau,L,1986-02-18,4,909,141,193,334,573,0:37,15:19,4.1,--,257,--,--,--,--,247,5,0,4,1,R,L,1986-02-18,1986,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,2006,N,909,141,193,334
Alexei Emelin,D,1986-04-25,4,456,15,66,81,363,0:47,19:13,4.1,106,155,-49,0.73,1.06,-0.34,143,9,0,0,3,L,D,1986-04-25,1986,Togliatti,--,RUS,RUS,74,218,2004,3,84,20112012,2011,N,456,15,66,81
Gilbert Brule,C,1987-01-01,4,299,43,52,95,156,0:31,11:50,4.4,--,72,--,--,--,--,68,4,0,0,0,R,C,1987-01-01,1987,Edmonton,AB,CAN,CAN,71,187,2005,1,6,20052006,2005,N,299,43,52,95
Patric Hornqvist,R,1987-01-01,4,867,262,274,536,447,0:30,15:55,3.2,--,197,--,--,--,--,188,5,0,3,1,R,R,1987-01-01,1987,Sollentuna,--,SWE,SWE,71,189,2005,7,230,20082009,2008,N,867,262,274,536
Trevor Lewis,C,1987-01-08,4,795,79,107,186,183,0:13,13:19,1.7,--,83,--,--,--,--,78,5,0,0,0,R,C,1987-01-08,1987,Salt Lake City,UT,USA,USA,73,202,2006,1,17,20082009,2008,N,795,79,107,186
Marc Staal,D,1987-01-13,4,"1,005",49,162,211,476,0:28,20:17,2.3,--,226,--,--,--,--,221,4,0,1,0,L,D,1987-01-13,1987,Thunder Bay,ON,CAN,CAN,76,208,2005,1,12,20072008,2007,N,"1,005",49,162,211
Guillaume Latendresse,L,1987-05-24,4,341,87,60,147,185,0:32,13:31,4,--,82,--,--,--,--,78,3,0,1,0,L,L,1987-05-24,1987,Ste-Catherine,QC,CAN,CAN,74,230,2005,2,45,20062007,2006,N,341,87,60,147
Joe Finley,D,1987-06-29,4,21,0,1,1,32,1:31,10:57,13.9,6,10,-4,1.56,2.61,-1.04,6,4,0,0,0,L,D,1987-06-29,1987,Edina,MN,USA,USA,80,245,2005,1,27,20112012,2011,N,21,0,1,1
Harry Zolnierczyk,L,1987-09-01,4,84,7,6,13,93,1:06,8:28,13.1,37,31,6,3.12,2.61,0.51,24,5,0,0,2,L,L,1987-09-01,1987,Toronto,ON,CAN,CAN,71,180,--,--,--,20112012,2011,N,84,7,6,13
Derick Brassard,C,1987-09-22,4,938,202,319,521,431,0:27,16:00,2.9,--,195,--,--,--,--,187,5,0,2,1,L,C,1987-09-22,1987,Hull,QC,CAN,CAN,73,202,2006,1,6,20072008,2007,N,939,202,319,521
Eric Selleck,L,1987-10-20,4,3,0,1,1,22,7:20,8:27,86.7,2,4,-2,4.73,9.46,-4.73,1,2,0,0,1,L,L,1987-10-20,1987,Brockville,ON,CAN,CAN,74,208,--,--,--,20122013,2012,N,3,0,1,1
Matt Bartkowski,D,1988-06-04,4,256,8,40,48,157,0:36,17:11,3.6,25,63,-38,0.34,0.86,-0.52,56,5,0,0,2,L,D,1988-06-04,1988,Pittsburgh,PA,USA,USA,73,201,2008,7,190,20102011,2010,N,256,8,40,48
Jason Demers,D,1988-06-09,4,699,45,169,214,407,0:34,19:10,3,104,171,-67,0.47,0.77,-0.3,159,7,0,3,2,R,D,1988-06-09,1988,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,2009,N,699,45,169,214
James van Riemsdyk,L,1989-05-04,4,863,281,273,554,342,0:23,16:28,2.4,144,163,-19,0.61,0.69,-0.08,159,4,0,0,0,L,L,1989-05-04,1989,Middletown,NJ,USA,USA,75,217,2007,1,2,20092010,2009,N,863,281,273,554
Colin Wilson,C,1989-10-20,4,632,113,173,286,138,0:13,14:44,1.5,109,61,48,0.7,0.39,0.31,57,4,0,0,0,L,C,1989-10-20,1989,Greenwich,CT,USA,USA,73,215,2008,1,7,20092010,2009,N,632,113,173,286
Adam Henrique,C,1990-02-06,4,754,212,218,430,223,0:17,17:45,1.7,141,99,42,0.63,0.44,0.19,94,3,0,2,0,L,C,1990-02-06,1990,Brantford,ON,CAN,CAN,72,195,2008,3,82,20102011,2010,N,754,212,218,430
Andreas Martinsen,L,1990-06-13,4,152,9,14,23,110,0:43,10:12,7.1,30,42,-12,1.16,1.62,-0.46,35,6,0,0,1,L,L,1990-06-13,1990,Bærum,--,NOR,NOR,74,225,--,--,--,20152016,2015,N,152,9,14,23
Jordan Caron,R,1990-11-02,4,157,12,16,28,78,0:29,10:34,4.7,14,32,-18,0.51,1.16,-0.65,28,4,0,0,0,L,R,1990-11-02,1990,Sayabec,QC,CAN,CAN,75,204,2009,1,25,20102011,2010,N,157,12,16,28
Tim Schaller,L,1990-11-16,4,276,29,28,57,92,0:20,11:51,2.8,43,36,7,0.79,0.66,0.13,31,4,0,1,0,L,L,1990-11-16,1990,Merrimack,NH,USA,USA,74,204,--,--,--,20142015,2014,N,276,29,28,57
Ryan Ellis,D,1991-01-03,4,566,76,199,275,189,0:20,20:51,1.6,135,78,57,0.69,0.4,0.29,71,5,0,1,1,R,D,1991-01-03,1991,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,2011,N,566,76,199,275
Ryan Carpenter,C,1991-01-18,4,301,26,42,68,106,0:21,12:52,2.7,41,39,2,0.63,0.6,0.03,33,4,0,2,0,R,C,1991-01-18,1991,Oviedo,FL,USA,USA,72,200,--,--,--,20152016,2015,N,301,26,42,68
Chris Brown,R,1991-02-03,4,23,2,1,3,21,0:54,7:56,11.5,2,5,-3,0.66,1.64,-0.99,3,1,0,1,0,R,R,1991-02-03,1991,Flower Mound,TX,USA,USA,74,208,2009,2,36,20122013,2012,N,23,2,1,3
Josef Vasicek,C,1980-09-12,4,460,77,106,183,311,0:40,14:44,4.6,--,148,--,--,--,--,143,5,0,0,0,L,C,1980-09-12,1980,Havlickuv Brod,--,CZE,CZE,77,214,1998,4,91,20002001,2000,N,460,77,106,183
Buddy Robinson,R,1991-09-30,4,51,3,6,9,32,0:37,8:51,7.1,7,10,-3,0.93,1.33,-0.4,6,4,0,0,0,R,R,1991-09-30,1991,Bellmawr,NJ,USA,USA,78,232,--,--,--,20152016,2015,N,51,3,6,9
Justin Holl,D,1992-01-30,4,190,8,48,56,103,0:32,19:28,2.8,24,47,-23,0.39,0.76,-0.37,44,3,0,0,0,R,D,1992-01-30,1992,Tonka Bay,MN,USA,USA,76,194,2010,2,54,20172018,2017,N,190,8,48,56
Charlie Coyle,C,1992-03-02,4,686,129,210,339,251,0:21,16:30,2.2,192,109,83,1.02,0.58,0.44,102,5,1,1,0,R,C,1992-03-02,1992,East Weymouth,MA,USA,USA,75,219,2010,1,28,20122013,2012,N,686,129,210,339
Marcus Sorensen,L,1992-04-07,4,226,31,33,64,74,0:19,12:31,2.6,55,27,28,1.17,0.57,0.59,22,4,0,1,0,L,L,1992-04-07,1992,Sodertalje,--,SWE,SWE,71,175,2010,4,106,20162017,2016,N,226,31,33,64
Brett Bulmer,R,1992-04-26,4,17,0,3,3,15,0:52,10:10,8.7,9,6,3,3.12,2.08,1.04,5,1,0,0,0,R,R,1992-04-26,1992,Prince George,BC,CAN,CAN,76,212,2010,2,39,20112012,2011,N,17,0,3,3
Mark Stone,R,1992-05-13,4,532,178,296,474,183,0:20,18:53,1.8,118,83,35,0.7,0.5,0.21,78,5,0,0,0,R,R,1992-05-13,1992,Winnipeg,MB,CAN,CAN,75,209,2010,6,178,20122013,2012,N,532,178,296,474
Josh Archibald,R,1992-10-06,4,239,39,32,71,100,0:25,12:56,3.2,44,35,9,0.85,0.68,0.17,29,4,0,1,1,R,R,1992-10-06,1992,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,2015,N,240,39,32,71
Adam Larsson,D,1992-11-12,4,668,30,125,155,390,0:35,20:48,2.8,73,172,-99,0.32,0.74,-0.43,163,6,0,1,2,R,D,1992-11-12,1992,Skellefteå,--,SWE,SWE,75,208,2011,1,4,20112012,2011,N,669,31,125,156
Fredrik Claesson,D,1992-11-24,4,170,7,21,28,62,0:21,15:16,2.4,10,16,-6,0.23,0.37,-0.14,11,2,1,1,1,L,D,1992-11-24,1992,Stockholm,--,SWE,SWE,73,196,2011,5,126,20152016,2015,N,170,7,21,28
Stefan Noesen,R,1993-02-12,4,207,31,23,54,122,0:35,12:14,4.8,34,46,-12,0.81,1.09,-0.28,41,2,0,3,0,R,R,1993-02-12,1993,Plano,TX,USA,USA,73,205,2011,1,21,20142015,2014,N,207,31,23,54
Phillip Danault,C,1993-02-24,4,457,76,162,238,212,0:27,16:44,2.8,92,100,-8,0.72,0.78,-0.06,96,4,0,0,0,L,C,1993-02-24,1993,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,2014,N,458,76,162,238
Jonathan Huberdeau,L,1993-06-04,4,656,189,399,588,329,0:30,18:02,2.8,232,146,86,1.18,0.74,0.44,140,3,0,3,0,L,L,1993-06-04,1993,Saint-Jerome,QC,CAN,CAN,73,202,2011,1,3,20122013,2012,N,656,189,399,588
Andrey Pedan,D,1993-07-03,4,13,0,0,0,18,1:23,10:57,12.6,3,6,-3,1.26,2.53,-1.26,4,2,0,0,0,L,D,1993-07-03,1993,Kaunas,--,LTU,LTU,77,213,2011,3,63,20152016,2015,N,13,0,0,0
JC Lipon,R,1993-07-10,4,9,0,1,1,5,0:33,6:58,8,2,1,1,1.91,0.96,0.96,0,1,0,0,0,R,R,1993-07-10,1993,Regina,SK,CAN,CAN,72,183,2013,3,91,20152016,2015,N,9,0,1,1
Xavier Ouellet,D,1993-07-29,4,178,5,23,28,82,0:27,16:07,2.9,19,31,-12,0.4,0.65,-0.25,26,4,0,1,0,L,D,1993-07-29,1993,Bayonne,--,FRA,FRA,72,197,2011,2,48,20132014,2013,N,178,5,23,28
Petteri Lindbohm,D,1993-09-23,4,45,2,1,3,42,0:56,14:29,6.4,13,15,-2,1.2,1.38,-0.18,11,4,0,0,0,L,D,1993-09-23,1993,Helsinki,--,FIN,FIN,75,198,2012,6,176,20142015,2014,N,45,2,1,3
Phillip Di Giuseppe,L,1993-10-09,4,201,16,37,53,73,0:21,11:43,3.1,17,32,-15,0.43,0.82,-0.38,29,3,0,0,0,L,L,1993-10-09,1993,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,2015,N,201,16,37,53
Stefan Matteau,C,1994-02-23,4,92,6,5,11,41,0:26,10:15,4.3,16,16,0,1.02,1.02,0,13,3,0,0,0,L,C,1994-02-23,1994,Chicago,IL,USA,USA,74,208,2012,1,29,20122013,2012,N,92,6,5,11
Jake Dotchin,D,1994-03-24,4,103,3,20,23,112,1:05,16:14,6.7,30,42,-12,1.08,1.51,-0.43,36,4,0,1,1,R,D,1994-03-24,1994,Cambridge,ON,CAN,CAN,75,210,2012,6,161,20162017,2016,N,103,3,20,23
Gemel Smith,C,1994-04-16,4,91,12,13,25,58,0:38,9:56,6.4,18,19,-1,1.19,1.26,-0.07,14,4,0,0,1,L,C,1994-04-16,1994,Toronto,ON,CAN,CAN,70,203,2012,4,104,20162017,2016,N,91,12,13,25
Joseph Blandisi,C,1994-07-18,4,101,10,21,31,78,0:46,12:37,6.1,27,36,-9,1.27,1.69,-0.42,34,2,0,0,0,L,C,1994-07-18,1994,Markham,ON,CAN,CAN,72,184,2012,6,162,20152016,2015,N,101,10,21,31
